Name,Time (s),X (px),Y (px)
Marcador 1,"0,000","-54,19","-4,94"
Marcador 2,"0,000","-50,24","-123,54"
Marcador 3,"0,000","-30,47","-234,24"
Marcador 4,"0,433","-56,17","-2,97"
Marcador 5,"0,433","-30,47","-105,75"
Marcador 6,"0,433","24,88","-212,49"
Marcador 7,"0,867","-58,14","-2,97"
Marcador 8,"0,867","-6,75","-89,94"
Marcador 9,"0,867","76,27","-169,01"
Marcador 10,"1,400","-60,12","0,99"
Marcador 11,"1,400","22,90","-62,27"
Marcador 12,"1,400","123,71","-105,75"
Marcador 13,"1,967","-66,05","6,92"
Marcador 14,"1,967","30,81","-0,99"
Marcador 15,"1,967","135,57","8,90"
Marcador 16,"2,400","-66,05","8,90"
Marcador 17,"2,400","28,83","32,62"
Marcador 18,"2,400","125,69","74,13"
Marcador 19,"2,833","-68,03","10,87"
Marcador 20,"2,833","16,97","68,20"
Marcador 21,"2,833","86,15","131,45"
Marcador 22,"3,367","-66,05","24,71"
Marcador 23,"3,367","-10,70","101,80"
Marcador 24,"3,367","32,78","172,96"
Marcador 25,"3,800","-71,98","20,76"
Marcador 26,"3,800","-40,35","115,64"
Marcador 27,"3,800","-24,54","192,73"
Marcador 28,"4,267","-73,96","16,80"
Marcador 29,"4,267","-75,93","127,50"
Marcador 30,"4,267","-85,82","206,56"
Marcador 31,"4,633","-77,91","22,73"
Marcador 32,"4,633","-87,79","123,54"
Marcador 33,"4,633","-111,52","202,61"